step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
360.0,26,0,7,45,71,0,23.0,0.8846153846153846,7.795139548080301,7,25.0,0.3729098903745143,7,25.0,1
365.0,26,0,11,49,75,0,72.0,2.769230769230769,5.955411620206518,11,74.0,0.248426678505648,11,74.0,1
370.0,24,0,15,54,78,0,141.0,5.875,3.0915701632110832,15,143.0,0.1687760101805488,15,143.0,1
375.0,28,0,19,55,83,0,232.0,8.285714285714286,2.80862801413793,19,234.0,0.1892176876116829,19,234.0,1
380.0,30,0,22,56,86,0,337.0,11.233333333333333,2.1566979267512534,22,339.0,0.1530272384837035,22,339.0,1
385.0,31,0,27,56,87,0,463.0,14.935483870967742,1.7829385029396974,27,465.0,0.0940006887409284,27,465.0,1
390.0,33,0,27,56,89,0,598.0,18.12121212121212,1.67202099315412,27,600.0,0.0353723336458777,27,600.0,1
395.0,36,0,24,57,93,0,511.0,14.194444444444445,2.039074139938392,24,657.0,0.0785741909380157,24,657.0,1
400.0,40,0,17,59,99,0,282.0,7.05,3.9652095848055247,17,610.0,0.1812921137439917,17,610.0,1
405.0,41,2,13,59,100,0,142.0,3.463414634146341,5.57660582306794,13,476.0,0.1926636731813831,13,476.0,1
410.0,39,5,5,62,101,0,29.0,0.7435897435897436,5.704925982250425,5,518.0,0.2276410530410748,5,518.0,1
415.0,33,7,8,68,101,0,30.0,0.9090909090909092,4.7940282293290615,8,551.0,0.2091239572919496,8,551.0,1
420.0,35,5,12,72,107,0,83.0,2.3714285714285714,3.4792770050469826,12,604.0,0.1907648625172785,12,604.0,1
425.0,39,2,14,74,113,0,82.0,2.102564102564102,2.9640452095000804,14,590.0,0.1822132042930024,14,590.0,1
430.0,40,2,10,75,115,0,42.0,1.05,3.947552193465909,10,479.0,0.1848496563424223,10,479.0,1
435.0,43,3,10,75,118,0,32.0,0.7441860465116279,5.26545367671941,10,310.0,0.1673128080632107,10,310.0,1
440.0,39,7,7,79,118,0,21.0,0.5384615384615384,5.243524143617388,7,350.0,0.2310154308726433,7,350.0,1
445.0,37,11,8,83,120,0,32.0,0.8648648648648649,5.44665728708889,8,380.0,0.2422082976417723,8,380.0,1
450.0,37,10,13,87,124,0,87.0,2.3513513513513518,3.824472146944393,13,435.0,0.1828952986254226,13,435.0,1
455.0,38,6,15,91,129,0,89.0,2.3421052631578947,2.51750946049785,15,425.0,0.15210563828017,15,425.0,1
