run,agent,episode_return,discounted_return,mean_return,R_bar,theta_norm,theta_change,theta_update_norm
51,t,-11786.0,-4292.4931640625,-3768.2158203125,-67535.41434168967,1.4265503313325558,0.04748209126616576,0.04748209126616576
52,t,-13304.0,-5904.36865234375,-3729.33740234375,-61154.806647755075,1.3600576375343842,0.2675555376490415,0.2675555376490415
53,t,-7604.0,-3093.085693359375,-2270.922607421875,-55266.41824372176,1.332673208244321,0.1012528313984701,0.1012528313984701
54,t,-8334.0,-3238.174560546875,-2564.103515625,-49996.186770912085,1.3538228008243272,0.09692810988660228,0.09692810988660228
55,t,-7291.0,-3221.7666015625,-2050.725341796875,-45201.64062800056,1.34785855379637,0.21732684121028242,0.21732684121028242
56,t,-5386.0,-2425.349365234375,-1492.4520263671875,-40830.721767837225,1.319186129740125,0.06696424936788833,0.06696424936788833
57,t,-5191.0,-2039.8720703125,-1585.763427734375,-36906.225933826936,1.2699372959794042,0.20353227498817514,0.20353227498817514
58,t,-6906.0,-2465.931396484375,-2232.364013671875,-33438.83974181143,1.2816457224875981,0.08925474664369046,0.08925474664369046
59,t,-7153.0,-2946.27490234375,-2118.093994140625,-30306.765167044352,1.3827338267173979,0.3136739568943422,0.3136739568943422
60,t,-11933.0,-4949.01416015625,-3516.738037109375,-27627.762454050855,1.4295018619829611,0.055956224547913075,0.055956224547913075
61,t,-13013.0,-4769.71630859375,-4145.490234375,-25279.535232083268,1.4543905247141116,0.12018118921174614,0.12018118921174614
62,t,-13803.0,-6167.533203125,-3848.5712890625,-23136.438837781192,1.4242919935226004,0.09630189506928562,0.09630189506928562
63,t,-11904.0,-4474.21142578125,-3737.265380859375,-21196.521492089014,1.4798076056935983,0.2042043033995513,0.2042043033995513
64,t,-35674.0,-16496.056640625,-9671.4521484375,-20044.01455772386,1.5500420151204528,0.5167075825891528,0.5167075825891528
65,t,-7291.0,-3056.30810546875,-2132.62744140625,-18252.8758460921,1.5388232465181422,0.10975443163544946,0.10975443163544946
