step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode
400.0,56,1,28,227,283,0,179.0,3.196428571428572,2.080983847838593,28,2039.0,0.1332280367645891,28,2039.0,0
405.0,59,1,21,228,287,0,93.0,1.576271186440678,3.33232502112808,19,2095.0,0.1923649066845828,19,2095.0,0
410.0,59,3,26,228,287,0,120.0,2.0338983050847457,3.406043885404965,24,2169.0,0.1293503294711281,24,2169.0,0
415.0,59,3,23,232,291,0,169.0,2.864406779661017,3.803314414545919,21,2260.0,0.1419684642918136,21,2260.0,0
420.0,56,1,27,237,293,0,232.0,4.142857142857143,3.1239800351532696,26,2228.0,0.1056508380207759,26,2228.0,0
425.0,58,3,23,239,297,0,173.0,2.9827586206896552,3.380519889370184,23,2298.0,0.0994411824621718,23,2298.0,0
430.0,54,3,31,243,297,0,187.0,3.462962962962963,3.3379954485096266,31,2445.0,0.0950836231565439,31,2445.0,0
435.0,59,5,29,248,307,0,225.0,3.8135593220338975,3.3884243633095803,29,2595.0,0.1807781477596451,29,2595.0,0
440.0,54,5,21,253,307,0,148.0,2.740740740740741,2.959321018374943,21,2388.0,0.2208970461613067,21,2388.0,0
445.0,59,6,17,253,312,0,78.0,1.3220338983050848,3.021175017773741,15,2432.0,0.1734170818285846,15,2432.0,0
450.0,59,6,31,253,312,0,136.0,2.305084745762712,3.3733965659421234,29,2539.0,0.1272655784326147,29,2539.0,0
455.0,58,6,27,258,316,0,209.0,3.603448275862069,3.340224739423424,25,2669.0,0.1380056543213179,25,2669.0,0
460.0,56,6,23,262,318,0,140.0,2.5,2.983754275295884,22,2740.0,0.1156859767369494,22,2740.0,0
465.0,58,6,24,264,322,0,126.0,2.1724137931034484,3.544717678697921,24,2833.0,0.1130436097536207,24,2833.0,0
470.0,58,8,33,268,326,0,184.0,3.1724137931034484,3.592366087171814,33,2979.0,0.1520486357178642,33,2979.0,0
475.0,56,10,33,272,328,0,278.0,4.964285714285714,2.458046919688101,33,3146.0,0.1265964658401082,33,3146.0,0
480.0,54,8,26,276,330,0,194.0,3.592592592592593,1.9807271469686976,25,2912.0,0.145861311326626,25,2912.0,0
485.0,56,12,28,276,332,0,152.0,2.7142857142857144,2.477248004252514,26,2985.0,0.1177051344065129,26,2985.0,0
490.0,58,10,27,276,334,0,178.0,3.0689655172413794,3.485043016948252,25,3095.0,0.1461525851071039,25,3095.0,0
495.0,57,14,26,279,336,0,224.0,3.929824561403509,3.348065076647093,24,3212.0,0.125842962516037,24,3212.0,0
500.0,55,11,21,284,339,0,126.0,2.290909090909091,3.146127316888071,21,3265.0,0.0971908803314614,21,3265.0,0
505.0,56,14,25,288,344,0,129.0,2.3035714285714284,3.81201185507685,25,3379.0,0.1591718484902549,25,3379.0,0
510.0,59,12,33,291,350,0,191.0,3.23728813559322,3.290137972397691,33,3529.0,0.1761379605073602,33,3529.0,0
515.0,53,12,19,297,350,0,109.0,2.056603773584906,2.451948840743877,19,3251.0,0.1784755407486944,19,3251.0,0
520.0,57,14,21,297,354,0,67.0,1.1754385964912282,2.758110658795748,19,3141.0,0.1339035841966954,19,3141.0,0
525.0,57,14,27,297,354,0,121.0,2.12280701754386,3.3288294581465894,25,3252.0,0.1172503745958,25,3252.0,0
530.0,58,16,23,300,358,0,173.0,2.9827586206896552,3.664324592893333,22,3368.0,0.1203435214114128,22,3368.0,0
535.0,55,14,16,305,360,0,78.0,1.4181818181818182,3.584875991615949,15,3405.0,0.1174404172810581,15,3405.0,0
540.0,55,13,22,310,365,0,89.0,1.6181818181818182,3.2967517472224954,22,3472.0,0.0904222205879126,22,3472.0,0
545.0,55,15,29,314,369,0,169.0,3.0727272727272728,3.487810744830465,29,3604.0,0.1483903966269089,29,3604.0,0
550.0,54,15,32,319,373,0,276.0,5.111111111111111,2.380678668291305,32,3756.0,0.1444094627366104,32,3756.0,0
555.0,52,17,32,321,373,0,247.0,4.75,1.7950960727593093,30,3494.0,0.0923535916072607,30,3494.0,0
560.0,56,17,28,321,377,0,218.0,3.892857142857143,3.129647980523599,26,3584.0,0.130719143001629,26,3584.0,0
565.0,54,19,27,323,377,0,220.0,4.074074074074074,3.4269915808410123,25,3704.0,0.1226537667496234,25,3704.0,0
570.0,54,19,24,327,381,0,218.0,4.037037037037037,3.789492210034285,22,3815.0,0.1425794250629258,22,3815.0,0
575.0,52,17,20,331,383,0,167.0,3.2115384615384617,3.3737432115233443,20,3504.0,0.1215787309353946,20,3504.0,0
580.0,59,19,20,334,393,0,91.0,1.5423728813559323,4.279814575285295,20,3548.0,0.2024262816640614,20,3548.0,0
585.0,54,19,24,339,393,0,120.0,2.2222222222222223,3.912901303651761,24,3660.0,0.202802114168618,24,3660.0,0
590.0,54,21,23,343,397,0,151.0,2.7962962962962963,3.0278994345086727,23,3775.0,0.1411646376408576,23,3775.0,0
595.0,54,19,29,345,399,0,264.0,4.888888888888889,2.3368607951419658,29,3903.0,0.0898434069510194,29,3903.0,0
600.0,57,19,28,346,403,0,218.0,3.824561403508772,2.4264598123641763,27,3596.0,0.1006177346647764,27,3596.0,0
605.0,53,21,27,350,403,0,167.0,3.150943396226415,2.808326397306595,25,3669.0,0.1248541952500515,25,3669.0,0
610.0,56,21,25,351,407,0,186.0,3.321428571428572,3.555179641069345,23,3768.0,0.1517036635689179,23,3768.0,0
615.0,58,23,21,353,411,0,188.0,3.2413793103448274,4.580610981069414,19,3869.0,0.2080566786334223,19,3869.0,0
620.0,60,21,20,357,417,0,130.0,2.1666666666666665,4.276789290476247,20,3967.0,0.1847043964646251,20,3967.0,0
625.0,54,23,30,363,417,0,140.0,2.592592592592593,3.179413681762296,30,4088.0,0.1095468697012363,30,4088.0,0
630.0,54,23,34,367,421,0,209.0,3.87037037037037,2.056776489689902,34,4245.0,0.0757383345020393,34,4245.0,0
635.0,51,23,24,370,421,0,153.0,3.0,2.172206019603624,24,3922.0,0.1103363361110515,24,3922.0,0
640.0,54,25,17,371,425,0,78.0,1.4444444444444444,3.3589066139972354,15,3777.0,0.1554206853058632,15,3777.0,0
645.0,53,25,20,372,425,0,101.0,1.9056603773584904,4.089132055525955,18,3853.0,0.157941531309825,18,3853.0,0
650.0,56,29,14,377,433,0,41.0,0.7321428571428571,4.707499077832451,14,3929.0,0.2363799735821302,14,3929.0,0
655.0,56,25,19,381,437,0,70.0,1.25,3.783557439852351,19,4006.0,0.1996668198739793,19,4006.0,0
660.0,55,26,25,385,440,0,166.0,3.018181818181818,2.5569528537776707,25,4122.0,0.1323873817964047,25,4122.0,0
665.0,56,26,24,386,442,0,138.0,2.4642857142857144,2.435983552177582,22,3770.0,0.1050484391404819,22,3770.0,0
670.0,58,28,20,386,444,0,104.0,1.793103448275862,3.352514770984476,18,3832.0,0.1102906201543788,18,3832.0,0
675.0,56,28,26,390,446,0,147.0,2.625,3.708753980123901,24,3925.0,0.1431840690473095,24,3925.0,0
680.0,54,30,15,394,448,0,58.0,1.0740740740740742,4.015838761413821,15,3990.0,0.1268880976393572,15,3990.0,0
685.0,56,29,20,399,455,0,69.0,1.2321428571428572,3.550302896475341,20,4077.0,0.1508539514933452,20,4077.0,0
690.0,52,28,27,404,456,0,155.0,2.980769230769231,1.9710905970358208,27,4199.0,0.1147349264805988,27,4199.0,0
695.0,54,28,23,406,460,0,132.0,2.4444444444444446,2.229867568611714,22,3850.0,0.1565987737117183,22,3850.0,0
700.0,54,30,23,406,460,0,104.0,1.9259259259259256,2.2282818017698305,21,3917.0,0.0855882442402195,21,3917.0,0
705.0,58,30,28,406,464,0,161.0,2.7758620689655173,3.679296431074768,26,4027.0,0.1396023298916288,26,4027.0,0
710.0,54,32,25,410,464,0,204.0,3.7777777777777777,3.305301590862863,23,4134.0,0.0943006597372848,23,4134.0,0
715.0,56,30,27,414,470,0,247.0,4.410714285714286,3.317348802954122,26,4001.0,0.1094401954854837,26,4001.0,0
720.0,52,30,27,418,470,0,324.0,6.230769230769231,3.4430408444585017,26,3651.0,0.122331795944502,26,3651.0,0
725.0,60,32,26,420,480,0,343.0,5.716666666666667,4.709155449816194,26,3563.0,0.2234017740629011,26,3563.0,0
730.0,54,32,17,426,480,0,292.0,5.407407407407407,5.100375234068413,17,3028.0,0.2642368932792938,17,3028.0,0
735.0,55,33,16,430,485,0,258.0,4.6909090909090905,3.743164136255129,16,3101.0,0.1549040652955952,16,3101.0,0
740.0,52,32,12,434,486,0,219.0,4.211538461538462,4.273312262952705,12,2397.0,0.1821530337697337,12,2397.0,0
745.0,55,33,12,436,491,0,240.0,4.363636363636363,4.265394988650838,12,2456.0,0.1656065296128289,12,2456.0,0
750.0,52,30,10,442,494,0,285.0,5.480769230769231,4.05572758960762,10,1810.0,0.1748728255018266,10,1810.0,0
755.0,54,29,12,445,499,0,338.0,6.25925925925926,4.213051491740582,11,1861.0,0.1948366449078515,11,1861.0,0
760.0,56,29,10,449,505,0,385.0,6.875,4.67766641738212,10,1519.0,0.2559875131931495,10,1519.0,0
765.0,59,27,11,452,511,0,436.0,7.389830508474576,4.532036003266748,11,1573.0,0.2229270706372124,11,1573.0,0
770.0,58,27,13,455,513,0,492.0,8.482758620689655,4.179591384333671,13,1192.0,0.1640050277589726,13,1192.0,0
775.0,59,25,16,460,519,0,565.0,9.576271186440678,3.847670554028999,16,1265.0,0.1522377908424015,16,1265.0,0
780.0,56,23,14,465,521,0,632.0,11.285714285714286,3.866550034037002,14,1023.0,0.1608547406257169,14,1023.0,0
785.0,58,24,17,468,526,0,708.0,12.20689655172414,3.701562391553469,16,1096.0,0.1643256505148382,16,1096.0,0
790.0,57,22,14,471,528,0,772.0,13.543859649122806,3.937008238021975,14,1031.0,0.1516189625868573,14,1031.0,0
795.0,64,22,15,476,540,0,843.0,13.171875,4.972152436626573,14,1019.0,0.2683476683817049,14,1019.0,0
800.0,62,20,14,480,542,0,912.0,14.709677419354838,4.288463484888351,14,1034.0,0.2229575424118211,14,1034.0,0
805.0,65,20,19,483,548,0,992.0,15.261538461538462,4.219953084659453,18,1039.0,0.210219060408714,18,1039.0,0
810.0,62,18,22,488,550,0,1092.0,17.612903225806452,3.373450816239512,22,1144.0,0.1557563833915729,22,1144.0,0
815.0,66,15,23,491,557,0,1195.0,18.10606060606061,3.7596111368205,21,1216.0,0.1592028603081613,21,1216.0,0
820.0,65,15,21,494,559,0,1290.0,19.846153846153847,3.479298870407834,21,1301.0,0.1331968089232466,21,1301.0,0
825.0,66,13,24,499,565,0,1398.0,21.181818181818183,3.401038532848564,22,1404.0,0.1386426928465012,22,1404.0,0
830.0,67,14,23,503,570,0,1493.0,22.28358208955224,3.869105055821883,22,1506.0,0.1892246556695571,22,1506.0,0
835.0,68,14,22,506,574,0,1596.0,23.47058823529412,3.995887724311739,22,1615.0,0.1846236845403366,22,1615.0,0
840.0,66,11,24,511,577,0,1694.0,25.666666666666668,2.9695261158037303,24,1711.0,0.1239144869412082,24,1711.0,0
845.0,67,13,23,514,581,0,1808.0,26.98507462686567,3.466950832040766,23,1821.0,0.1561829129777039,23,1821.0,0
850.0,68,9,25,517,585,0,1929.0,28.36764705882353,3.1608308095896027,25,1940.0,0.1337742142398697,25,1940.0,0
