step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
350.0,48,0,23,198,246,0,210.0,4.375,4.204526790778823,22,1262.0,0.1699417522645985,22,1262.0
355.0,48,0,17,202,250,0,116.0,2.4166666666666665,4.042309148047276,17,1317.0,0.1428966072435956,17,1317.0
360.0,45,0,19,205,250,0,125.0,2.7777777777777777,3.599761412981832,19,1405.0,0.09309015439950266,19,1405.0
365.0,52,0,23,210,262,0,147.0,2.826923076923077,3.8450841427316695,23,1506.0,0.2141092018902011,23,1506.0
370.0,48,0,31,214,262,0,275.0,5.729166666666667,2.423485096002769,31,1645.0,0.17072994396096994,31,1645.0
375.0,54,0,32,214,268,0,233.0,4.314814814814815,2.396513469077049,30,1533.0,0.1284318567292366,30,1533.0
380.0,54,0,27,214,268,0,199.0,3.685185185185185,2.39221659291967,25,1613.0,0.0717081148681034,25,1613.0
385.0,57,1,24,216,273,0,193.0,3.3859649122807016,3.837920863077734,22,1691.0,0.15037917750557753,22,1691.0
390.0,55,0,21,219,274,0,196.0,3.5636363636363635,3.7918194775185605,19,1775.0,0.12552992241753946,19,1775.0
395.0,54,0,22,224,278,0,117.0,2.1666666666666665,3.479769175050742,22,1828.0,0.11344969533916946,22,1828.0
400.0,55,0,30,229,284,0,147.0,2.672727272727273,3.537295808867936,30,1968.0,0.15127699436186703,30,1968.0
405.0,56,0,32,232,288,0,234.0,4.178571428571429,2.68479336329463,32,2130.0,0.1376513739818344,32,2130.0
410.0,54,0,37,236,290,0,353.0,6.537037037037037,1.6203110374839993,37,2311.0,0.06869726410234955,37,2311.0
415.0,58,0,43,236,294,0,515.0,8.879310344827585,1.9791670579342473,43,2505.0,0.08464471162387485,43,2505.0
420.0,55,0,49,239,294,0,749.0,13.618181818181819,0.7609541554756662,49,2742.0,0.03935979083720057,49,2742.0
425.0,58,2,54,240,298,0,1009.0,17.396551724137932,0.7835338492297388,54,3002.0,0.060683702965578824,54,3002.0
430.0,58,2,54,240,298,0,1279.0,22.051724137931036,0.24173361201695795,54,3272.0,0.021598606644134374,54,3272.0
435.0,68,4,58,240,308,0,1564.0,23.0,1.7641112430057302,58,3557.0,0.12710755890687256,58,3557.0
440.0,68,4,58,240,308,0,1854.0,27.264705882352942,1.2261237314619764,58,3847.0,0.08821021826584252,58,3847.0
445.0,72,6,62,240,312,0,2158.0,29.97222222222222,1.5981707960574179,62,4151.0,0.0825316367311491,62,4151.0
450.0,72,6,64,240,312,0,2470.0,34.30555555555556,1.0084942027954522,64,4463.0,0.0014674936560370004,64,4463.0
455.0,74,6,66,242,316,0,2798.0,37.810810810810814,1.1645359306033396,66,4791.0,0.038194249627988085,66,4791.0
460.0,71,8,68,245,316,0,3130.0,44.08450704225352,0.17342068439958253,68,5123.0,0.0007350065794851658,68,5123.0
465.0,72,10,70,246,318,0,3479.0,48.31944444444444,0.16515113129634076,70,5472.0,0.012424142693629748,70,5472.0
470.0,76,12,71,246,322,0,3831.0,50.4078947368421,0.6810885446164076,71,5824.0,0.04915059674896359,71,5824.0
475.0,76,16,72,246,322,0,4191.0,55.14473684210526,0.6865575347561529,72,6184.0,0.049438559768434316,72,6184.0
480.0,76,16,72,246,322,0,4551.0,59.88157894736842,0.5743240562937503,72,6544.0,0.028998557867432134,72,6544.0
485.0,76,22,72,246,322,0,4911.0,64.61842105263158,0.6147183881873257,72,6904.0,0.0,72,6904.0
490.0,76,22,72,246,322,0,5271.0,69.35526315789474,0.7066559011728787,72,7264.0,0.0,72,7264.0
495.0,72,28,72,250,322,0,5631.0,78.20833333333333,0.0,72,7624.0,0.0,72,7624.0
500.0,72,28,72,250,322,0,5991.0,83.20833333333333,0.0,72,7984.0,0.0,72,7984.0
505.0,76,32,72,250,326,0,6351.0,83.5657894736842,0.7689942631578947,72,8344.0,0.05263157894736842,72,8344.0
510.0,78,34,72,250,328,0,6711.0,86.03846153846153,1.0027900342532488,72,8704.0,0.07076996735530014,72,8704.0
515.0,78,34,72,250,328,0,7071.0,90.65384615384616,0.8920382456216385,72,9064.0,0.04768347996746763,72,9064.0
520.0,78,40,72,250,328,0,7431.0,95.26923076923077,0.7595132990371108,72,9424.0,0.0,72,9424.0
525.0,76,40,72,252,328,0,7791.0,102.51315789473684,0.6530684939004251,72,9784.0,0.0,72,9784.0
530.0,76,46,72,252,328,0,8151.0,107.25,0.652025822515078,72,10144.0,0.0,72,10144.0
535.0,72,46,72,256,328,0,8511.0,118.20833333333333,0.0,72,10504.0,0.0,72,10504.0
540.0,72,50,72,256,328,0,8871.0,123.20833333333333,0.0,72,10864.0,0.0,72,10864.0
545.0,76,52,72,256,332,0,9231.0,121.46052631578948,0.7124082347654829,72,11224.0,0.051139091419608554,72,11224.0
550.0,76,56,72,256,332,0,9591.0,126.19736842105263,0.6996992890717898,72,11584.0,0.03762333203134803,72,11584.0
555.0,76,58,72,256,332,0,9951.0,130.93421052631578,0.5569148625810563,72,11944.0,0.0,72,11944.0
560.0,76,62,72,256,332,0,10311.0,135.67105263157896,0.7111714981190952,72,12304.0,0.0,72,12304.0
565.0,74,64,72,258,332,0,10671.0,144.2027027027027,0.34978136182177355,72,12664.0,0.0,72,12664.0
570.0,72,68,72,260,332,0,11031.0,153.20833333333334,0.0,72,13024.0,0.0,72,13024.0
575.0,72,68,72,260,332,0,11391.0,158.20833333333334,0.0,72,13384.0,0.0,72,13384.0
580.0,78,74,72,260,338,0,11751.0,150.65384615384616,0.9622286909666096,72,13744.0,0.06569820466626859,72,13744.0
585.0,78,74,72,260,338,0,12111.0,155.26923076923077,0.9784417154120959,72,14104.0,0.06731566229498176,72,14104.0
590.0,78,80,72,260,338,0,12471.0,159.8846153846154,0.7716437120597823,72,14464.0,0.022927890402173034,72,14464.0
595.0,78,80,72,260,338,0,12831.0,164.5,0.8796430300741881,72,14824.0,0.0,72,14824.0
600.0,76,84,72,262,338,0,13191.0,173.56578947368422,0.6770712407420069,72,15184.0,0.0,72,15184.0
605.0,74,86,72,264,338,0,13551.0,183.1216216216216,0.342932661735633,72,15544.0,0.0,72,15544.0
610.0,72,90,72,266,338,0,13911.0,193.20833333333334,0.0,72,15904.0,0.0,72,15904.0
615.0,76,92,72,266,342,0,14271.0,187.77631578947367,0.6176595391444206,72,16264.0,0.0447593226125055,72,16264.0
620.0,76,96,72,266,342,0,14631.0,192.51315789473685,0.654668887064901,72,16624.0,0.04733285544592753,72,16624.0
625.0,76,98,72,266,342,0,14991.0,197.25,0.528986833816054,72,16984.0,0.009417609427020844,72,16984.0
630.0,76,102,72,266,342,0,15351.0,201.98684210526315,0.6842011139006012,72,17344.0,0.0,72,17344.0
635.0,76,102,72,266,342,0,15711.0,206.72368421052633,0.7004127852153602,72,17704.0,0.0,72,17704.0
640.0,72,108,72,270,342,0,16071.0,223.20833333333334,0.0,72,18064.0,0.0,72,18064.0
645.0,72,108,72,270,342,0,16431.0,228.20833333333334,0.0,72,18424.0,0.0,72,18424.0
650.0,78,114,72,270,348,0,16791.0,215.26923076923077,0.931274818481809,72,18784.0,0.06686803809156025,72,18784.0
655.0,78,114,72,270,348,0,17151.0,219.8846153846154,0.9682657664513626,72,19144.0,0.06935882574136958,72,19144.0
660.0,78,118,72,270,348,0,17511.0,224.5,0.7190119843123496,72,19504.0,0.03382114959817713,72,19504.0
665.0,78,120,72,270,348,0,17871.0,229.1153846153846,0.7471449488703791,72,19864.0,0.0,72,19864.0
670.0,78,124,72,270,348,0,18231.0,233.73076923076923,1.0470625342176179,72,20224.0,0.0,72,20224.0
675.0,76,126,72,272,348,0,18591.0,244.6184210526316,0.7003002874215106,72,20584.0,0.0,72,20584.0
680.0,72,130,72,276,348,0,18951.0,263.2083333333333,0.0,72,20944.0,0.0,72,20944.0
685.0,75,133,72,276,351,0,19311.0,257.48,0.5434508800000001,72,21304.0,0.04,72,21304.0
690.0,76,132,72,276,352,0,19671.0,258.82894736842104,0.6450127975615665,72,21664.0,0.0468166751168557,72,21664.0
695.0,76,136,72,276,352,0,20031.0,263.5657894736842,0.5427429408944405,72,22024.0,0.03465177296118766,72,22024.0
700.0,76,138,72,276,352,0,20391.0,268.30263157894734,0.6233134473463195,72,22384.0,0.009626717024919896,72,22384.0
705.0,76,142,72,276,352,0,20751.0,273.0394736842105,0.6904100363076275,72,22744.0,0.0,72,22744.0
710.0,74,144,72,278,352,0,21111.0,285.2837837837838,0.3380847772928585,72,23104.0,0.0,72,23104.0
715.0,72,148,72,280,352,0,21471.0,298.2083333333333,0.0,72,23464.0,0.0,72,23464.0
720.0,72,148,72,280,352,0,21831.0,303.2083333333333,0.0,72,23824.0,0.0,72,23824.0
725.0,78,154,72,280,358,0,22191.0,284.5,1.057738602624,72,24184.0,0.07261359897574692,72,24184.0
730.0,78,154,72,280,358,0,22551.0,289.11538461538464,1.0153480958465075,72,24544.0,0.06989377195423746,72,24544.0
735.0,78,160,72,280,358,0,22911.0,293.7307692307692,0.8034723382234887,72,24904.0,0.0,72,24904.0
740.0,78,160,72,280,358,0,23271.0,298.34615384615387,1.0737413591285891,72,25264.0,0.0,72,25264.0
745.0,75,166,72,283,358,0,23631.0,315.08,0.5243728236595645,72,25624.0,0.0,72,25624.0
750.0,72,166,72,286,358,0,23991.0,333.2083333333333,0.0,72,25984.0,0.0,72,25984.0
755.0,72,170,72,286,358,0,24351.0,338.2083333333333,0.0,72,26344.0,0.0,72,26344.0
760.0,76,172,72,286,362,0,24711.0,325.14473684210526,0.6518209738550964,72,26704.0,0.04824579916926134,72,26704.0
765.0,76,176,72,286,362,0,25071.0,329.88157894736844,0.6842349806487525,72,27064.0,0.05062806816303056,72,27064.0
770.0,76,178,72,286,362,0,25431.0,334.61842105263156,0.49882462925315285,72,27424.0,0.0,72,27424.0
775.0,76,182,72,286,362,0,25791.0,339.35526315789474,0.6671061583217512,72,27784.0,0.0,72,27784.0
780.0,74,182,72,288,362,0,26151.0,353.3918918918919,0.3480304772224079,72,28144.0,0.0,72,28144.0
785.0,72,188,72,290,362,0,26511.0,368.2083333333333,0.0,72,28504.0,0.0,72,28504.0
790.0,72,188,72,290,362,0,26871.0,373.2083333333333,0.0,72,28864.0,0.0,72,28864.0
795.0,78,194,72,290,368,0,27231.0,349.11538461538464,0.9710846133731121,72,29224.0,0.07128923248864431,72,29224.0
800.0,78,194,72,290,368,0,27591.0,353.7307692307692,0.9733593906063652,72,29584.0,0.07164402094199922,72,29584.0
805.0,78,200,72,290,368,0,27951.0,358.34615384615387,0.7258287620058709,72,29944.0,0.03066475536610719,72,29944.0
810.0,78,200,72,290,368,0,28311.0,362.96153846153845,0.8669089286440647,72,30304.0,0.0,72,30304.0
815.0,77,204,72,291,368,0,28671.0,372.35064935064935,0.8254415589221534,72,30664.0,0.0,72,30664.0
820.0,74,206,72,294,368,0,29031.0,392.31081081081084,0.31524226976612524,72,31024.0,0.0,72,31024.0
825.0,72,210,72,296,368,0,29391.0,408.2083333333333,0.0,72,31384.0,0.0,72,31384.0
830.0,76,212,72,296,372,0,29751.0,391.4605263157895,0.7618704291903737,72,31744.0,0.05051180200148363,72,31744.0
835.0,76,216,72,296,372,0,30111.0,396.19736842105266,0.7719225296671703,72,32104.0,0.05116075197462322,72,32104.0
840.0,76,216,72,296,372,0,30471.0,400.9342105263158,0.6423974787678054,72,32464.0,0.012005516989369587,72,32464.0
845.0,76,222,72,296,372,0,30831.0,405.67105263157896,0.7246676695955014,72,32824.0,0.0,72,32824.0
850.0,74,222,72,298,372,0,31191.0,421.5,0.3749176426526084,72,33184.0,0.0,72,33184.0
855.0,72,228,72,300,372,0,31551.0,438.2083333333333,0.0,72,33544.0,0.0,72,33544.0
860.0,72,228,72,300,372,0,31911.0,443.2083333333333,0.0,72,33904.0,0.0,72,33904.0
865.0,76,232,72,300,376,0,32271.0,424.61842105263156,0.6804455131578948,72,34264.0,0.05263157894736842,72,34264.0
870.0,78,234,72,300,378,0,32631.0,418.34615384615387,0.9360471505746722,72,34624.0,0.06826859251330648,72,34624.0
875.0,78,234,72,300,378,0,32991.0,422.96153846153845,0.9234181002129495,72,34984.0,0.055827745083624376,72,34984.0
880.0,78,240,72,300,378,0,33351.0,427.5769230769231,0.5702339051698337,72,35344.0,0.0,72,35344.0
885.0,78,240,72,300,378,0,33711.0,432.1923076923077,0.9922658539239049,72,35704.0,0.0,72,35704.0
890.0,76,246,72,302,378,0,34071.0,448.30263157894734,0.6581290342621172,72,36064.0,0.0,72,36064.0
895.0,72,246,72,306,378,0,34431.0,478.2083333333333,0.0,72,36424.0,0.0,72,36424.0
900.0,72,250,72,306,378,0,34791.0,483.2083333333333,0.0,72,36784.0,0.0,72,36784.0
905.0,76,252,72,306,382,0,35151.0,462.5131578947368,0.6331123983682512,72,37144.0,0.04766016557572955,72,37144.0
910.0,76,256,72,306,382,0,35511.0,467.25,0.670365939489064,72,37504.0,0.050262556698252706,72,37504.0
915.0,76,258,72,306,382,0,35871.0,471.9868421052632,0.46949997939872046,72,37864.0,0.0,72,37864.0
920.0,76,262,72,306,382,0,36231.0,476.7236842105263,0.6679513779199124,72,38224.0,0.0,72,38224.0
925.0,75,264,72,307,382,0,36591.0,487.88,0.48619109967352625,72,38584.0,0.0,72,38584.0
930.0,73,268,72,309,382,0,36951.0,506.17808219178085,0.13291351417985303,72,38944.0,0.0,72,38944.0
935.0,72,268,72,310,382,0,37311.0,518.2083333333334,0.0,72,39304.0,0.0,72,39304.0
940.0,78,274,72,310,388,0,37671.0,482.96153846153845,0.9940290576964165,72,39664.0,0.06763594654975526,72,39664.0
945.0,78,274,72,310,388,0,38031.0,487.5769230769231,1.0036108744366639,72,40024.0,0.06836930954248475,72,40024.0
950.0,78,280,72,310,388,0,38391.0,492.1923076923077,0.6186499486038943,72,40384.0,0.00886489115703402,72,40384.0
955.0,78,280,72,310,388,0,38751.0,496.8076923076923,0.9372656894068848,72,40744.0,0.0,72,40744.0
960.0,77,284,72,311,388,0,39111.0,507.93506493506493,0.9034310824539212,72,41104.0,0.0,72,41104.0
965.0,72,286,72,316,388,0,39471.0,548.2083333333334,0.0,72,41464.0,0.0,72,41464.0
970.0,72,290,72,316,388,0,39831.0,553.2083333333334,0.0,72,41824.0,0.0,72,41824.0
975.0,76,292,72,316,392,0,40191.0,528.828947368421,0.6836727472638492,72,42184.0,0.04980317506264752,72,42184.0
980.0,76,296,72,316,392,0,40551.0,533.5657894736842,0.6816677854871794,72,42544.0,0.04964248344102187,72,42544.0
985.0,76,298,72,316,392,0,40911.0,538.3026315789474,0.5880824477297929,72,42904.0,0.012126851207470342,72,42904.0
990.0,76,302,72,316,392,0,41271.0,543.0394736842105,0.6507012071006183,72,43264.0,0.0,72,43264.0
995.0,74,302,72,318,392,0,41631.0,562.581081081081,0.32318203036849985,72,43624.0,0.0,72,43624.0
1000.0,73,308,72,319,392,0,41991.0,575.2191780821918,0.15398932971835608,72,43984.0,0.0,72,43984.0
