step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,episode,global_step
55.0,22,0,2,15,37,0,7.0,0.3181818181818182,8.840715157358183,2,7.0,0.5669733667176812,2,7.0,10,2565.0
60.0,25,0,4,15,40,0,23.0,0.92,10.473439358408443,4,23.0,0.5977747186272252,4,23.0,10,2570.0
65.0,27,0,2,19,46,0,5.0,0.1851851851851851,9.32109366175772,2,17.0,0.6272202178176726,2,17.0,10,2575.0
70.0,25,0,5,23,48,0,23.0,0.92,8.56543316910351,5,23.0,0.4759326042946895,5,23.0,10,2580.0
75.0,23,0,8,27,50,0,58.0,2.5217391304347827,6.459917223064603,8,58.0,0.2773428278076192,8,58.0,10,2585.0
80.0,24,0,8,29,53,0,32.0,1.3333333333333333,4.916237368727942,8,74.0,0.2219522094555227,8,74.0,10,2590.0
85.0,25,0,1,33,58,0,6.0,0.24,7.900731642685455,1,51.0,0.4644711534812999,1,51.0,10,2595.0
90.0,27,0,1,34,61,0,11.0,0.4074074074074074,9.88493233504696,1,20.0,0.5820907455302268,1,20.0,10,2600.0
95.0,29,0,2,37,66,0,17.0,0.5862068965517241,10.467598503836244,2,17.0,0.6834751121090606,2,17.0,10,2605.0
100.0,27,0,1,42,69,0,1.0,0.037037037037037,9.327637592925916,1,3.0,0.5988197873928355,1,3.0,10,2610.0
105.0,25,0,5,47,72,0,17.0,0.68,9.271103900721243,5,17.0,0.5138461937288668,5,17.0,10,2615.0
110.0,22,0,8,52,74,0,50.0,2.272727272727273,6.280696798883789,8,50.0,0.2440793372664589,8,50.0,10,2620.0
115.0,21,0,12,56,77,0,104.0,4.9523809523809526,4.955585844172235,12,104.0,0.2470274493434011,12,104.0,10,2625.0
120.0,24,0,7,58,82,0,60.0,2.5,4.994284608817845,7,120.0,0.3237172846803146,7,120.0,10,2630.0
125.0,26,0,2,59,85,0,4.0,0.1538461538461538,6.675814645312064,2,78.0,0.3424195854805813,2,78.0,10,2635.0
130.0,27,0,0,60,87,0,0.0,0.0,8.11101876101472,0,22.0,0.4009954432695507,0,22.0,10,2640.0
135.0,28,0,1,63,91,0,2.0,0.0714285714285714,8.009244991244731,1,24.0,0.4743779086512201,1,24.0,10,2645.0
140.0,28,0,7,68,96,0,24.0,0.8571428571428571,5.94504585669007,7,46.0,0.3410279177591792,7,46.0,10,2650.0
145.0,26,0,14,71,97,0,74.0,2.8461538461538463,3.717178305863209,14,97.0,0.136115826445924,14,97.0,10,2655.0
150.0,27,0,13,72,99,0,70.0,2.592592592592593,3.3396537594857194,13,128.0,0.1351042850362272,13,128.0,10,2660.0
155.0,29,0,6,74,103,0,30.0,1.0344827586206895,6.027332883791578,6,122.0,0.306152615912294,6,122.0,10,2665.0
160.0,34,0,1,75,109,0,8.0,0.2352941176470588,8.378739995355447,1,75.0,0.4641443308727348,1,75.0,10,2670.0
165.0,33,0,2,78,111,0,18.0,0.5454545454545454,8.72893821254331,2,46.0,0.4894942020369328,2,46.0,10,2675.0
170.0,32,0,1,83,115,0,1.0,0.03125,8.112651793583211,1,25.0,0.4838338419745299,1,25.0,10,2680.0
175.0,31,0,6,88,119,0,25.0,0.8064516129032258,6.843286712316791,6,47.0,0.3209615176333656,6,47.0,10,2685.0
180.0,30,0,12,93,123,0,74.0,2.466666666666667,5.227754114611821,12,97.0,0.2581471745179345,12,97.0,10,2690.0
185.0,29,0,18,97,126,0,153.0,5.275862068965517,3.692536255568331,18,176.0,0.2165598274946044,18,176.0,10,2695.0
190.0,29,0,16,98,127,0,144.0,4.965517241379311,2.7912646302130573,16,222.0,0.1500512337270143,16,222.0,10,2700.0
195.0,30,0,10,99,129,0,75.0,2.5,4.757710800595754,10,210.0,0.1911615371393384,10,210.0,10,2705.0
200.0,34,0,5,99,133,0,32.0,0.9411764705882352,7.215879020087222,5,158.0,0.3008197456322326,5,158.0,10,2710.0
205.0,35,0,3,104,139,0,4.0,0.1142857142857142,6.893305537364235,3,147.0,0.3863021751022099,3,147.0,10,2715.0
210.0,33,0,7,108,141,0,31.0,0.9393939393939394,6.113575940573935,7,158.0,0.3056963986621289,7,158.0,10,2720.0
215.0,32,0,16,111,143,0,91.0,2.84375,3.994827879203387,16,218.0,0.1255167678612433,16,218.0,10,2725.0
220.0,31,0,15,114,145,0,94.0,3.032258064516129,3.290413001532372,15,246.0,0.1298316122359857,15,246.0,10,2730.0
